tamanho: 10
Tempo: 0.789478s, Frequência: 301.17Hz, Nota: 4, Amplitude: 104.03
Tempo: 0.812698s, Frequência: 215.12Hz, Nota: 1, Amplitude: 147.14
Tempo: 0.835918s, Frequência: 193.61Hz, Nota: 6, Amplitude: 153.52
Tempo: 0.859138s, Frequência: 129.07Hz, Nota: 3, Amplitude: 227.47
Tempo: 0.882358s, Frequência: 129.07Hz, Nota: 3, Amplitude: 351.31
Tempo: 0.905578s, Frequência: 107.56Hz, Nota: 1, Amplitude: 379.05
Tempo: 0.928798s, Frequência: 107.56Hz, Nota: 1, Amplitude: 401.49
Tempo: 0.952018s, Frequência: 107.56Hz, Nota: 1, Amplitude: 380.22
Tempo: 0.975238s, Frequência: 107.56Hz, Nota: 1, Amplitude: 334.19
Tempo: 0.998458s, Frequência: 107.56Hz, Nota: 1, Amplitude: 316.83

tamanho: 4
Tempo: 1.021678s, Frequência: 107.56Hz, Nota: 1, Amplitude: 335.81
Tempo: 1.044898s, Frequência: 107.56Hz, Nota: 1, Amplitude: 293.37
Tempo: 1.068118s, Frequência: 107.56Hz, Nota: 1, Amplitude: 159.02
Tempo: 1.091338s, Frequência: 86.05Hz, Nota: 5, Amplitude: 75.50

tamanho: 13
Tempo: 9.079002s, Frequência: 365.71Hz, Nota: 6, Amplitude: 84.21
Tempo: 9.102222s, Frequência: 387.22Hz, Nota: 6, Amplitude: 77.11
Tempo: 9.195102s, Frequência: 365.71Hz, Nota: 6, Amplitude: 96.82
Tempo: 9.218322s, Frequência: 387.22Hz, Nota: 6, Amplitude: 105.15
Tempo: 9.311202s, Frequência: 387.22Hz, Nota: 6, Amplitude: 134.64
Tempo: 9.334422s, Frequência: 387.22Hz, Nota: 6, Amplitude: 142.72
Tempo: 9.427302s, Frequência: 387.22Hz, Nota: 6, Amplitude: 121.53
Tempo: 9.450522s, Frequência: 387.22Hz, Nota: 6, Amplitude: 112.49
Tempo: 9.543401s, Frequência: 387.22Hz, Nota: 6, Amplitude: 125.68
Tempo: 9.566621s, Frequência: 387.22Hz, Nota: 6, Amplitude: 105.25
Tempo: 9.659501s, Frequência: 387.22Hz, Nota: 6, Amplitude: 85.80
Tempo: 9.775601s, Frequência: 387.22Hz, Nota: 6, Amplitude: 79.32
Tempo: 9.891701s, Frequência: 387.22Hz, Nota: 6, Amplitude: 80.66

tamanho: 20
Tempo: 10.007800s, Frequência: 387.22Hz, Nota: 6, Amplitude: 101.45
Tempo: 10.123900s, Frequência: 387.22Hz, Nota: 6, Amplitude: 88.09
Tempo: 10.240000s, Frequência: 387.22Hz, Nota: 6, Amplitude: 94.22
Tempo: 10.448980s, Frequência: 301.17Hz, Nota: 4, Amplitude: 177.44
Tempo: 10.472200s, Frequência: 215.12Hz, Nota: 1, Amplitude: 203.87
Tempo: 10.495420s, Frequência: 193.61Hz, Nota: 6, Amplitude: 163.03
Tempo: 10.518639s, Frequência: 129.07Hz, Nota: 3, Amplitude: 230.31
Tempo: 10.541859s, Frequência: 129.07Hz, Nota: 3, Amplitude: 321.97
